# Time-averaged data for fix temp_output
# TimeStep c_temp_core
0 0
100 0.1
200 0.102906
300 0.101556
400 0.0992806
500 0.0998818
600 0.0978842
700 0.100098
800 0.0979721
900 0.098538
1000 0.0971189
1100 0.0987008
1200 0.0991448
1300 0.0980989
1400 0.102072
1500 0.0988108
1600 0.100166
1700 0.0984865
1800 0.0993092
1900 0.101727
2000 0.0995263
2100 0.102706
2200 0.102294
2300 0.104429
2400 0.102405
2500 0.100999
2600 0.0987647
2700 0.100305
2800 0.100452
2900 0.0992408
3000 0.10236
3100 0.100029
3200 0.100336
3300 0.0989924
3400 0.0971614
3500 0.101374
3600 0.0985383
3700 0.098245
3800 0.0998206
3900 0.0987895
4000 0.0990434
4100 0.0991369
4200 0.102763
4300 0.0991952
4400 0.0975416
4500 0.099951
4600 0.0998969
4700 0.101272
4800 0.100339
4900 0.0979941
5000 0.0987302
5100 0.101449
5200 0.100937
5300 0.100397
5400 0.0991742
5500 0.100193
5600 0.100046
5700 0.101419
5800 0.100063
5900 0.101214
6000 0.0980998
6100 0.0981579
6200 0.099806
6300 0.098998
6400 0.101633
6500 0.100581
6600 0.10076
6700 0.101088
6800 0.10194
6900 0.0977372
7000 0.102286
7100 0.0986351
7200 0.0989658
7300 0.0999706
7400 0.103189
7500 0.100369
7600 0.0998663
7700 0.0998908
7800 0.0981704
7900 0.101419
8000 0.101239
8100 0.103718
8200 0.0979557
8300 0.10026
8400 0.100241
8500 0.101258
8600 0.0990351
8700 0.0994892
8800 0.101886
8900 0.0990488
9000 0.101191
9100 0.103898
9200 0.0989084
9300 0.0997659
9400 0.10104
9500 0.100106
9600 0.0985546
9700 0.101905
9800 0.0973605
9900 0.102661
10000 0.0980471
10100 0.101895
10200 0.0966461
10300 0.0974147
10400 0.100951
10500 0.101365
10600 0.098037
10700 0.0968457
10800 0.0994582
10900 0.0992372
11000 0.0988119
11100 0.10002
11200 0.0963374
11300 0.0975079
11400 0.102157
11500 0.102471
11600 0.0995406
11700 0.096721
11800 0.0996274
11900 0.100122
12000 0.100908
12100 0.0983008
12200 0.0985204
12300 0.101241
12400 0.102877
12500 0.0982739
12600 0.0979342
12700 0.0981668
12800 0.0987282
12900 0.0987585
13000 0.0993017
13100 0.104062
13200 0.100514
13300 0.0998176
13400 0.0964489
13500 0.0984116
13600 0.101355
13700 0.100227
13800 0.101959
13900 0.0987739
14000 0.0994106
14100 0.0993433
14200 0.1015
14300 0.0993709
14400 0.0993279
14500 0.10032
14600 0.101047
14700 0.102905
14800 0.0991913
14900 0.102483
15000 0.10003
15100 0.100505
15200 0.097658
15300 0.0976517
15400 0.0985561
15500 0.100866
15600 0.097894
15700 0.0998824
15800 0.100085
15900 0.100634
16000 0.0983982
16100 0.10023
16200 0.101339
16300 0.0989246
16400 0.104188
16500 0.101904
16600 0.101383
16700 0.0982859
16800 0.100668
16900 0.0981395
17000 0.0994658
17100 0.102069
17200 0.100803
17300 0.103723
17400 0.100769
17500 0.104126
17600 0.0974752
17700 0.0975889
17800 0.0975828
17900 0.101011
18000 0.101377
18100 0.0987323
18200 0.0986995
18300 0.101922
18400 0.100448
18500 0.0964164
18600 0.0998797
18700 0.101131
18800 0.0976705
18900 0.103349
19000 0.0994997
19100 0.102368
19200 0.0992208
19300 0.0999917
19400 0.101813
19500 0.098571
19600 0.0982444
19700 0.099155
19800 0.102766
19900 0.0965573
20000 0.0984195
20100 0.0991693
20200 0.102001
20300 0.0946322
20400 0.100256
20500 0.103096
20600 0.0940774
20700 0.102699
20800 0.0998539
20900 0.102349
21000 0.099862
21100 0.100702
21200 0.0998083
21300 0.100113
21400 0.101058
