# Time-averaged data for fix temp_output
# TimeStep c_temp_core
0 0
100 4.99107
200 5.16573
300 5.08882
400 4.96315
500 5.01335
600 4.87362
700 5.00762
800 4.92228
900 4.93672
1000 4.85384
1100 4.93236
1200 4.95609
1300 4.91904
1400 5.10712
1500 4.95226
1600 4.99544
1700 4.92734
1800 4.96398
1900 5.07548
2000 5.01225
2100 5.13843
2200 5.11936
2300 5.22589
2400 5.09733
2500 5.0487
2600 4.95858
2700 5.01094
2800 5.0166
2900 4.96116
3000 5.08221
3100 5.00487
3200 4.98641
3300 4.90177
3400 4.85839
3500 5.09244
3600 4.91476
3700 4.90322
3800 5.00254
3900 4.96337
4000 4.97467
4100 4.94627
4200 5.15863
4300 4.96082
4400 4.8694
4500 4.98372
4600 4.98477
4700 5.07933
4800 5.00432
4900 4.906
5000 4.93217
5100 5.08854
5200 5.06223
5300 5.01983
5400 4.96496
5500 4.98693
5600 4.98305
5700 5.05019
5800 5.00383
5900 5.06377
6000 4.84692
6100 4.89644
6200 4.98877
6300 4.95067
6400 5.07211
6500 5.03636
6600 5.04472
6700 4.93537
6800 5.10623
6900 4.87605
7000 5.08018
7100 4.91403
7200 4.95919
7300 4.98188
7400 5.12181
7500 5.02535
7600 4.97712
7700 4.99463
7800 4.89394
7900 5.05351
8000 5.00012
8100 5.16285
8200 4.88925
8300 4.99762
8400 5.04164
8500 5.06211
8600 4.94077
8700 4.985
8800 5.09918
8900 4.92312
9000 5.0182
9100 5.13195
9200 4.94058
9300 5.0209
9400 5.02399
9500 4.91455
9600 4.94653
9700 5.07805
9800 4.89729
9900 5.12378
10000 4.99128
10100 5.10353
10200 4.82058
10300 4.87048
10400 5.06238
10500 5.04017
10600 4.93357
10700 4.82782
10800 4.97625
10900 4.96939
11000 4.91709
11100 4.98945
11200 4.81894
11300 4.85594
11400 5.06299
11500 5.11575
11600 4.96153
11700 4.83222
11800 4.97094
11900 5.00012
12000 5.04873
12100 4.8835
12200 4.93106
12300 5.05729
12400 5.12526
12500 4.92534
12600 4.89199
12700 4.94138
12800 4.94086
12900 4.93949
13000 5.00433
13100 5.15255
13200 5.04337
13300 5.00014
13400 4.84163
13500 4.9069
13600 5.04791
13700 4.9734
13800 5.13262
13900 4.96352
14000 4.94499
14100 4.93765
14200 5.06274
14300 4.96818
14400 4.96636
14500 5.02646
14600 5.0208
14700 5.12316
14800 4.97491
14900 5.11506
15000 5.0105
15100 4.95391
15200 4.87636
15300 4.86981
15400 4.92952
15500 4.97836
15600 4.86641
15700 4.96834
15800 5.01914
15900 5.04729
16000 4.87442
16100 4.97521
16200 5.05834
16300 4.99481
16400 5.1802
16500 5.03293
16600 5.066
16700 4.92823
16800 5.04493
16900 4.91351
17000 4.9825
17100 5.09593
17200 5.03879
17300 5.11229
17400 5.04306
17500 5.11647
17600 4.86554
17700 4.86925
17800 4.86447
17900 5.09584
18000 4.99916
18100 4.90078
18200 4.95054
18300 5.10266
18400 5.00979
18500 4.83401
18600 5.02741
18700 5.01563
18800 4.90239
18900 5.15469
19000 4.94731
19100 5.09386
19200 4.95464
19300 4.97219
19400 5.12969
19500 4.92432
19600 4.89666
19700 4.999
19800 5.12426
19900 4.78942
20000 4.97288
20100 4.97911
20200 5.07317
20300 4.74818
20400 5.01468
20500 5.14741
20600 4.68456
20700 5.13483
20800 4.9782
20900 5.09951
21000 4.99259
21100 5.03113
21200 4.95527
21300 4.99867
21400 5.06523
21500 5.18674
21600 5.0661
21700 5.06705
21800 4.97106
21900 5.07432
22000 5.07126
22100 4.91906
22200 4.97471
22300 5.10873
22400 5.10555
22500 5.07283
22600 4.99887
22700 5.10582
22800 4.96532
22900 5.06895
23000 5.20256
23100 4.92951
23200 4.91229
23300 4.85681
23400 5.0889
23500 4.94354
23600 5.12807
23700 4.98468
23800 5.06541
23900 5.10486
24000 5.03096
24100 5.10909
24200 4.93645
24300 4.99344
24400 5.1017
24500 5.09121
24600 5.16617
24700 5.05343
24800 4.88873
24900 5.05103
25000 4.85913
25100 4.97823
25200 5.07337
25300 5.16979
25400 5.0459
25500 5.14238
25600 4.93862
25700 5.20168
25800 5.11954
25900 5.06921
26000 5.03826
26100 4.96437
26200 5.04154
26300 4.80231
26400 4.96079
26500 4.90296
26600 5.02991
26700 5.00581
26800 5.10811
26900 5.01286
27000 5.09341
27100 4.85928
27200 5.0819
27300 4.93397
27400 4.90922
27500 5.06759
27600 5.00546
27700 5.18771
27800 4.88184
27900 5.00256
28000 5.00521
28100 4.95571
28200 5.0197
28300 4.92804
28400 5.02659
28500 4.99765
28600 4.91217
28700 4.86925
28800 5.09819
28900 4.91891
29000 5.02546
29100 4.94447
29200 5.03421
29300 5.07851
29400 4.95921
29500 4.98131
29600 5.05879
29700 5.07172
29800 5.25924
29900 5.08813
30000 5.08712
30100 4.91059
30200 5.03769
30300 4.99986
30400 5.08079
30500 5.05762
30600 5.00279
30700 5.07584
30800 4.99574
30900 4.96643
31000 5.05398
31100 5.1059
31200 4.92457
31300 4.98183
31400 5.09118
31500 5.03516
31600 5.0056
31700 4.98444
31800 5.12005
31900 4.94297
32000 4.93533
32100 4.95665
32200 5.01954
32300 4.99174
32400 5.13143
32500 5.00501
32600 4.96431
32700 5.03787
32800 4.95765
32900 5.06371
33000 4.99912
33100 4.95419
33200 4.97093
33300 4.92912
33400 5.03516
33500 4.94342
33600 5.15973
33700 5.14409
33800 5.13209
33900 5.10045
34000 4.93041
34100 4.95001
34200 4.96894
34300 4.92855
34400 5.01481
34500 5.03355
34600 4.96535
34700 5.02614
34800 5.15933
34900 5.02393
35000 4.9894
35100 5.05239
35200 4.95831
35300 5.07001
35400 4.93304
35500 4.95628
35600 4.84899
35700 5.06288
35800 5.01286
35900 4.97405
36000 5.2175
36100 4.89479
36200 4.86037
36300 4.93878
36400 4.98843
36500 4.87907
36600 5.03086
36700 5.09178
36800 5.06115
36900 5.02044
37000 4.97967
37100 4.90217
37200 5.00345
37300 4.84715
37400 4.97827
37500 4.91191
37600 4.91478
37700 4.83566
37800 4.93738
37900 5.12834
38000 5.07278
38100 4.9373
38200 5.01567
38300 5.21961
38400 5.07194
38500 5.00326
38600 5.00195
38700 5.08317
38800 4.90786
38900 5.06751
39000 5.13825
39100 4.99392
39200 4.90961
39300 4.87011
39400 4.89936
39500 4.9717
39600 5.02434
39700 5.09285
39800 4.9836
39900 5.13708
40000 4.92575
40100 4.84741
40200 4.91965
40300 5.03711
40400 5.00771
40500 4.93437
40600 5.03857
40700 5.09808
40800 5.16313
40900 5.04017
41000 4.9832
41100 5.11855
41200 4.99781
41300 5.03542
41400 5.13497
41500 5.06114
41600 4.79679
41700 4.76463
41800 5.04137
41900 5.05707
42000 5.08522
42100 4.97275
