# Chunk-averaged data for fix velo and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
101000 20 5324.000000000001
  16 0.775 261.48 0.00947043
  17 0.825 252.5 -0.0318119
  18 0.875 260.02 -0.00396841
  19 0.925 261.52 -0.0190315
  20 0.975 265.64 -0.0258484
110000 20 5324
  1 0.025 265.28 -0.071373
  2 0.075 266.02 -0.0867107
  3 0.125 262.24 -0.0264446
  4 0.175 267.76 -0.00277039
  5 0.225 273.56 0.0280004
  6 0.275 274.94 -0.0228793
  7 0.325 271.2 0.0453644
  8 0.375 266.46 0.0515308
  9 0.425 265.66 -0.00114117
  10 0.475 265.18 0.0376344
  11 0.525 267.88 0.0440036
  12 0.575 266.16 0.0546965
  13 0.625 268.1 0.0117254
  14 0.675 265.98 0.0148854
  15 0.725 261.24 0.0318597
  16 0.775 260.22 0.0488355
  17 0.825 264.34 0.0506356
  18 0.875 265.2 -0.00780384
  19 0.925 259.9 -0.0508294
  20 0.975 266.68 -0.0382413
111000 20 5324
  1 0.025 266.78 -0.0570828
  2 0.075 267 -0.0876834
  3 0.125 263.74 -0.0346464
  4 0.175 270.64 -0.00468909
  5 0.225 269.84 -0.0129898
  6 0.275 269.5 -0.0244758
  7 0.325 269.92 0.00509546
  8 0.375 265.28 0.0815188
  9 0.425 265.88 0.0361718
  10 0.475 261.24 0.0412364
  11 0.525 263.14 0.0479236
  12 0.575 264.34 0.0340864
  13 0.625 264.1 0.0323102
  14 0.675 265.88 0.0259177
  15 0.725 265.5 0.0314749
  16 0.775 262.56 0.0426417
  17 0.825 265.02 0.0300981
  18 0.875 270.3 -0.00690096
  19 0.925 266.94 -0.0260215
  20 0.975 266.4 -0.0383506
112000 20 5324
  1 0.025 262.8 -0.0640806
  2 0.075 261.32 -0.0381793
  3 0.125 263.96 -0.0368903
  4 0.175 267.96 -0.00723722
  5 0.225 267.38 -0.012877
  6 0.275 274.54 0.0220427
  7 0.325 268.56 0.0320165
  8 0.375 266.3 0.0213961
  9 0.425 261.8 0.0314133
  10 0.475 266.44 0.075449
  11 0.525 266.42 0.0150361
  12 0.575 268.94 0.0396506
  13 0.625 272.36 0.0479078
  14 0.675 265.56 0.0801565
  15 0.725 262.72 0.0623315
  16 0.775 263.56 0.0122351
  17 0.825 263.86 -0.00273222
  18 0.875 267.72 -0.0171871
  19 0.925 265.44 -0.0776666
  20 0.975 266.36 -0.07364
113000 20 5324
  1 0.025 259.28 -0.078448
  2 0.075 260.72 0.0037754
  3 0.125 262.78 -0.0222376
  4 0.175 267.8 0.00882658
  5 0.225 270.82 0.0182557
  6 0.275 270.58 -0.00508133
  7 0.325 268.08 0.0152931
  8 0.375 266.46 0.0468266
  9 0.425 264.52 0.0207945
  10 0.475 263.58 0.0818153
  11 0.525 268.56 0.0875129
  12 0.575 268.8 0.0995986
  13 0.625 272.2 0.0307454
  14 0.675 269.26 0.00166315
  15 0.725 269.02 0.0203347
  16 0.775 265.18 -0.0408275
  17 0.825 264.06 -0.0327403
  18 0.875 267.04 -0.0304463
  19 0.925 262.38 -0.0429484
  20 0.975 262.88 -0.0771377
114000 20 5324
  1 0.025 256.68 -0.088197
  2 0.075 260.64 -0.0608485
  3 0.125 268.42 -0.0637557
  4 0.175 270.58 -0.00428455
  5 0.225 271.22 0.0333003
  6 0.275 272.94 0.0174151
  7 0.325 272.06 -0.00392298
  8 0.375 272.08 0.0312472
  9 0.425 272.74 0.0109393
  10 0.475 268.64 0.0369371
  11 0.525 260.78 0.0695214
  12 0.575 265.38 0.0391157
  13 0.625 270.82 0.0452768
  14 0.675 266.78 0.0610592
  15 0.725 273.82 0.0541511
  16 0.775 268.26 -0.00110852
  17 0.825 262.36 -0.0031092
  18 0.875 260.14 0.0115452
  19 0.925 255.5 -0.0378871
  20 0.975 254.16 -0.0458992
115000 20 5324
  1 0.025 258.84 -0.079266
  2 0.075 265.52 -0.104621
  3 0.125 268.98 -0.0989378
  4 0.175 268.7 -0.0632459
  5 0.225 268.58 -0.0368357
  6 0.275 267.82 -8.48214e-05
  7 0.325 270.38 0.0539805
  8 0.375 271.44 0.0555654
  9 0.425 271.84 0.0443698
  10 0.475 271.46 0.0466849
  11 0.525 273.76 0.0689529
  12 0.575 270.28 0.0612597
  13 0.625 269.06 0.0415587
  14 0.675 264.12 0.0475504
  15 0.725 265.84 0.0834482
  16 0.775 261.18 0.060081
  17 0.825 258.92 0.0178829
  18 0.875 259.56 -0.0107516
  19 0.925 260.6 -0.0231237
  20 0.975 257.12 -0.0609405
116000 20 5324.000000000001
  1 0.025 264.4 -0.0796124
  2 0.075 261.62 -0.0729321
  3 0.125 267.36 -0.0536684
  4 0.175 266.44 -0.0731896
  5 0.225 271.84 -0.00820679
  6 0.275 266.14 0.0313956
  7 0.325 268.12 0.0609961
  8 0.375 273.02 0.0560408
  9 0.425 270.66 0.0467164
  10 0.475 264.44 0.0429874
  11 0.525 263.94 0.0439945
  12 0.575 272.4 0.0625025
  13 0.625 272.82 0.0452428
  14 0.675 268.16 0.0347228
  15 0.725 264.36 0.033255
  16 0.775 257.66 0.018171
  17 0.825 263.98 0.0169347
  18 0.875 260.34 -0.0160559
  19 0.925 265.74 -0.0216339
  20 0.975 260.56 -0.0626709
117000 20 5324
  1 0.025 261.64 -0.0527057
  2 0.075 262.22 -0.0486068
  3 0.125 265.68 -0.0203349
  4 0.175 270.5 -0.0271557
  5 0.225 267.28 0.00216872
  6 0.275 270.76 0.0206681
  7 0.325 268.04 -0.016077
  8 0.375 266.86 0.0118617
  9 0.425 269.68 0.0613765
  10 0.475 267.64 0.0674432
  11 0.525 263.28 0.0906977
  12 0.575 269.18 0.073949
  13 0.625 271.92 0.0425536
  14 0.675 273.42 0.032766
  15 0.725 272.18 -0.0230774
  16 0.775 263.86 -0.018644
  17 0.825 261.42 -0.00896198
  18 0.875 259.18 -0.0229408
  19 0.925 256.96 -0.0266276
  20 0.975 262.3 -0.0325769
118000 20 5324
  1 0.025 259.86 -0.0139476
  2 0.075 262.12 -0.0188613
  3 0.125 262.86 -0.0138807
  4 0.175 259.72 -0.000609171
  5 0.225 265.7 -0.00178876
  6 0.275 271.06 -0.0133645
  7 0.325 272.66 0.0150425
  8 0.375 269.78 0.0390559
  9 0.425 265.54 0.0786857
  10 0.475 264.52 0.0930342
  11 0.525 269.2 0.0360574
  12 0.575 271.56 0.0538565
  13 0.625 269.3 0.0271778
  14 0.675 265.98 0.0210656
  15 0.725 270.62 -0.027007
  16 0.775 270.1 -0.0558989
  17 0.825 260.72 -0.0441803
  18 0.875 265.52 -0.0495935
  19 0.925 264.1 0.00101034
  20 0.975 263.08 -0.0163707
119000 20 5324
  1 0.025 262.12 -0.0627811
  2 0.075 263.76 -0.052443
  3 0.125 271.34 -0.0448388
  4 0.175 264.8 -0.0216241
  5 0.225 265.92 0.0135569
  6 0.275 262.32 0.0120141
  7 0.325 263.52 0.0200652
  8 0.375 261.24 0.0487474
  9 0.425 265.92 0.0468694
  10 0.475 263.44 0.0784116
  11 0.525 271.3 0.0411271
  12 0.575 272.14 0.0192506
  13 0.625 274.5 0.00518967
  14 0.675 274.54 0.0125528
  15 0.725 264.4 0.0376549
  16 0.775 263.74 0.0321742
  17 0.825 262.78 -0.0243414
  18 0.875 265.26 -0.00683833
  19 0.925 265.64 -0.0310161
  20 0.975 265.32 -0.0120188
120000 20 5324
  1 0.025 265.08 -0.0417475
  2 0.075 265.9 -0.056495
  3 0.125 262.88 -0.0406684
  4 0.175 260.9 -0.0453493
  5 0.225 266.22 -0.0719396
  6 0.275 269.1 -0.0191529
  7 0.325 267.5 0.0412882
  8 0.375 269.62 0.0979693
  9 0.425 263.24 0.0470662
  10 0.475 267.38 0.0116546
  11 0.525 267.32 0.0337931
  12 0.575 270.94 0.0428534
  13 0.625 271.52 0.0293025
  14 0.675 264.94 0.0199364
  15 0.725 265.92 0.0623477
  16 0.775 260.8 0.0261615
  17 0.825 265.64 -0.0125628
  18 0.875 267.52 0.00678859
  19 0.925 265.92 -0.0299359
  20 0.975 265.66 0.00729248
121000 20 5324
  1 0.025 264.62 -0.0380052
  2 0.075 266.56 -0.0400053
  3 0.125 265.38 -0.00571452
  4 0.175 268 0.0217073
  5 0.225 265.88 -0.0112847
  6 0.275 269.54 0.00049199
  7 0.325 268.86 -0.0185031
  8 0.375 264.64 -0.029601
  9 0.425 263.12 0.0539979
  10 0.475 269.64 0.0591738
  11 0.525 266.98 0.0392255
  12 0.575 276.06 0.0294145
  13 0.625 268.74 0.0561812
  14 0.675 265.08 0.0360338
  15 0.725 262.12 0.00450296
  16 0.775 263.18 0.0255318
  17 0.825 264.46 -0.016148
  18 0.875 266.16 0.00184592
  19 0.925 263.26 -0.0198904
  20 0.975 261.72 -0.039759
122000 20 5324
  1 0.025 267.94 -0.0332236
  2 0.075 263.46 -0.0278688
  3 0.125 268.86 -0.0419167
  4 0.175 267.56 -0.0757538
  5 0.225 267.52 -0.0320475
  6 0.275 268.74 -0.0723233
  7 0.325 267.64 -0.0326153
  8 0.375 267.68 0.0438284
  9 0.425 268.38 0.0667868
  10 0.475 272.4 0.0680831
  11 0.525 269.52 0.0838913
  12 0.575 269.48 0.0965582
  13 0.625 264.72 0.0572575
  14 0.675 260.2 0.0241958
  15 0.725 257.02 0.0143266
  16 0.775 256.84 0.00770513
  17 0.825 264.58 -0.00276679
  18 0.875 267.52 0.00228179
  19 0.925 267.46 0.00636986
  20 0.975 266.48 -0.0421011
123000 20 5323.999999999999
  1 0.025 269.46 -0.0574877
  2 0.075 268.12 -0.0697917
