LAMMPS data file. Generated 2026-01-09 08:54:52.954177
6740 atoms
70 bonds
60 angles
50 dihedrals
0 impropers
4 atom types
1 bond types

0.0 14.769394404940591 xlo xhi
0.0 14.769497835581483 ylo yhi
0.0 43.711310009943 zlo zhi

Masses

1 1.0 
2 1.0 
3 1.0 
4 1.0 

Atoms # molecular

145 145 1  1.477004 6.646519 19.939558
146 146 1  2.215506 5.908017 19.939558
147 147 1  2.215506 6.646519 19.201056
148 148 1  2.954009 5.908017 19.201056
149 149 1  2.954009 6.646519 19.939558
150 150 1  11.816034 5.908017 19.201056
151 151 1  11.816034 6.646519 19.939558
152 152 1  12.554536 5.908017 19.939558
153 153 1  12.554536 6.646519 19.201056
154 154 1  13.293038 5.908017 19.201056
155 155 1  13.293038 6.646519 19.939558
156 156 1  14.031541 5.908017 19.939558
157 157 1  14.031541 6.646519 19.201056
158 158 1  0.000000 7.385021 19.201056
159 159 1  0.000000 8.123524 19.939558
160 160 1  0.738502 7.385021 19.939558
161 161 1  0.738502 8.123524 19.201056
162 162 1  1.477004 7.385021 19.201056
163 163 1  1.477004 8.123524 19.939558
164 164 1  2.215506 7.385021 19.939558
165 165 1  2.215506 8.123524 19.201056
166 166 1  2.954009 7.385021 19.201056
167 167 1  2.954009 8.123524 19.939558
168 168 1  11.816034 7.385021 19.201056
169 169 1  11.816034 8.123524 19.939558
170 170 1  12.554536 7.385021 19.939558
171 171 1  12.554536 8.123524 19.201056
172 172 1  13.293038 7.385021 19.201056
173 173 1  13.293038 8.123524 19.939558
174 174 1  14.031541 7.385021 19.939558
175 175 1  14.031541 8.123524 19.201056
176 176 1  0.000000 8.862026 19.201056
177 177 1  0.000000 9.600528 19.939558
178 178 1  0.738502 8.862026 19.939558
179 179 1  0.738502 9.600528 19.201056
180 180 1  1.477004 8.862026 19.201056
181 181 1  1.477004 9.600528 19.939558
182 182 1  2.215506 8.862026 19.939558
183 183 1  2.215506 9.600528 19.201056
184 184 1  2.954009 8.862026 19.201056
185 185 1  2.954009 9.600528 19.939558
186 186 1  3.692511 9.600528 19.201056
187 187 1  11.077532 9.600528 19.201056
188 188 1  11.816034 8.862026 19.201056
189 189 1  11.816034 9.600528 19.939558
190 190 1  12.554536 8.862026 19.939558
191 191 1  12.554536 9.600528 19.201056
192 192 1  13.293038 8.862026 19.201056
193 193 1  13.293038 9.600528 19.939558
194 194 1  14.031541 8.862026 19.939558
