# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
0 0
100 1470.53
200 1524.3
300 1571.02
400 1533
500 1507.33
600 1436.28
700 1502.11
800 1498.07
900 1461.6
1000 1472.04
1100 1462.99
1200 1477.32
1300 1424.67
1400 1542.33
1500 1556.28
1600 1519.43
1700 1467.18
1800 1473.9
1900 1519.6
2000 1525.04
2100 1550.53
2200 1528.66
2300 1518.01
2400 1539.41
2500 1458.22
2600 1449.54
2700 1485.52
2800 1549
2900 1513.75
3000 1522.8
3100 1480.98
3200 1510.16
3300 1544.38
3400 1465.21
3500 1566.96
3600 1419.15
3700 1476.14
3800 1538.43
3900 1498.18
4000 1494.91
4100 1488.76
4200 1517.11
4300 1475.68
4400 1453.16
4500 1484.25
4600 1508.33
4700 1450.5
4800 1507.99
4900 1498.4
5000 1462.36
5100 1541.91
5200 1556.75
5300 1534.53
5400 1550.32
5500 1524.67
5600 1524.71
5700 1548.36
5800 1481.58
5900 1526.86
6000 1471.76
6100 1444.84
6200 1460.12
6300 1474.91
6400 1527.62
6500 1534.01
6600 1543.08
6700 1467.36
6800 1502.93
6900 1485.88
7000 1513.47
7100 1496.75
7200 1464.19
7300 1485.36
7400 1577.68
7500 1569.26
7600 1511.99
7700 1526.47
7800 1471.34
7900 1572.96
8000 1492.32
8100 1570.97
8200 1450.64
8300 1535.46
8400 1556.82
8500 1523.79
8600 1486.32
8700 1542.09
8800 1539.77
8900 1545.37
9000 1519.43
9100 1576.12
9200 1432.68
9300 1511.46
9400 1521.08
9500 1453.46
9600 1486.02
9700 1524.85
9800 1471.95
9900 1550.12
10000 1479.66
10100 1552.95
10200 1446.56
10300 1449.26
10400 1531.2
10500 1542.31
10600 1419.67
10700 1458.32
10800 1496.24
10900 1480.07
11000 1516.4
11100 1515.07
11200 1455.13
11300 1498.26
11400 1490.23
11500 1538.01
11600 1455.1
11700 1456.33
11800 1445.05
11900 1535.75
12000 1543.71
12100 1471.77
12200 1454.79
12300 1544.33
12400 1506.3
12500 1496.63
