# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
0 0
100 7317.61
200 7661.71
300 7890.08
400 7605.4
500 7589.09
600 7090.18
700 7437.2
800 7532.99
900 7223.8
1000 7380.44
1100 7319.62
1200 7472.77
1300 7184.99
1400 7658.76
1500 7790.09
1600 7548.98
1700 7274.01
1800 7270.75
1900 7556.11
2000 7655.81
2100 7782.31
2200 7647.08
2300 7707.03
2400 7645.91
2500 7390.79
2600 7328.73
2700 7499.56
2800 7626.3
2900 7559.89
3000 7519.64
3100 7462.57
3200 7472.66
3300 7646.82
3400 7293.85
3500 7884.15
3600 7074.82
3700 7316.58
3800 7669.92
3900 7447.66
4000 7348.92
4100 7299.35
4200 7629.32
4300 7382.71
4400 7242.18
4500 7408.65
4600 7422.57
4700 7416.1
4800 7506.85
4900 7426.09
5000 7217.4
5100 7606
5200 7806.78
5300 7534.53
5400 7550.91
5500 7469.29
5600 7551.82
5700 7635.47
5800 7346.85
5900 7609.5
6000 7246.68
6100 7226.81
6200 7423.29
6300 7455.43
6400 7583.63
6500 7712.06
6600 7626.13
6700 7357.59
6800 7440.13
6900 7315.19
7000 7537.3
7100 7373.26
7200 7326.92
7300 7718.09
7400 7915.95
7500 7690.05
7600 7450.13
7700 7595.69
7800 7376.61
7900 7674.08
8000 7398.31
8100 7891.97
8200 7277.78
8300 7750.37
8400 7813.16
8500 7583.42
8600 7340.15
8700 7596.84
8800 7631.03
8900 7528.14
9000 7417.27
9100 7897.03
9200 7255.59
9300 7590.83
9400 7549.27
9500 7383.07
9600 7361.17
9700 7890.57
9800 7369.69
9900 7535.26
10000 7437.71
10100 7726.51
10200 7159.46
10300 7255.34
10400 7563.72
10500 7453.82
10600 7123.27
10700 7372.35
10800 7316.63
10900 7498.04
11000 7411.75
11100 7529.91
11200 7256.54
11300 7272.41
11400 7540.55
11500 7790.05
11600 7406.78
11700 7352.37
11800 7259.92
11900 7608.6
12000 7712.5
12100 7210.06
12200 7078.84
12300 7521.38
12400 7741.63
12500 7224.15
12600 7152.32
12700 7617.66
12800 7637.94
12900 7428.12
13000 7582.58
13100 7577.81
13200 7573.12
13300 7502.03
13400 7193.65
13500 7120.09
13600 7481.08
13700 7327.73
13800 7583.15
13900 7553.43
14000 7192.14
14100 7651.37
14200 7747.25
14300 7565.75
14400 7486.06
14500 7496.7
14600 7355.81
14700 7635.05
14800 7336.74
14900 7496.27
15000 7453.64
15100 7645.14
15200 7574.3
15300 7397.01
15400 7479.9
15500 7544.97
15600 7431
15700 7647.26
15800 7301.27
15900 7798.59
16000 7386.58
16100 7397.89
16200 7827.63
16300 7559.45
16400 7779.75
16500 7554.86
16600 7485.53
16700 7419.1
16800 7682.18
16900 7307.83
17000 7446.59
17100 7709.62
17200 7388.08
17300 7664.24
17400 7370.99
17500 7621.04
17600 7200.72
17700 7395.3
17800 7411.7
17900 7619.49
18000 7442.23
18100 7419.87
18200 7361.86
18300 7769.13
18400 7282.05
18500 7360.66
18600 7675.73
18700 7460.1
18800 7405.9
18900 7748.67
19000 7303.36
19100 7650.03
19200 7656.43
19300 7725.88
19400 7657.37
19500 7348.55
19600 7231.87
19700 7311.82
19800 7660.99
19900 7204.7
20000 7391.89
20100 7438.2
20200 7560.36
20300 7046.19
20400 7527.89
20500 7812.56
20600 6942.98
20700 7456.24
20800 7517.46
20900 7904.55
21000 7285.38
21100 7549.92
21200 7397.74
21300 7328.12
21400 7568.87
21500 7764.56
21600 7769.7
21700 7617.9
21800 7646.78
21900 7590.67
22000 7396
22100 7668.92
22200 7414.8
22300 7911.48
22400 7755.15
22500 7578.28
22600 7463.74
22700 7781.28
22800 7196.22
22900 7739.55
23000 7823.66
23100 7455.86
23200 7397.86
23300 7215.28
23400 7623.62
23500 7522.61
23600 7888.26
23700 7515.14
23800 7605.07
23900 7629.09
24000 7553.14
24100 7647.81
24200 7394.39
24300 7584.08
24400 8013.34
24500 7665.73
24600 7506.93
24700 7445.77
24800 7369.4
24900 7565.89
25000 7200.73
25100 7388.79
25200 7802.47
25300 8141.31
25400 7317.72
25500 7873.88
25600 7318.47
25700 7977.58
25800 7559.25
25900 7713.13
26000 7440.42
26100 7500.81
26200 7663.92
26300 6987.35
26400 7592.27
26500 7052.15
26600 7531.61
26700 7600.82
26800 7804.77
26900 7556.38
27000 7428.16
27100 7204.86
27200 7710.9
27300 7253.32
27400 7354.91
27500 7427.48
27600 7597.93
27700 7831.72
27800 7103.33
27900 7496.49
28000 7492.77
28100 7642.21
28200 7546.2
28300 7431.08
28400 7615.06
28500 7608.83
28600 7527.09
28700 7385.1
28800 7739.02
28900 7524.06
29000 7608.02
29100 7483.02
29200 7651.87
29300 7603.68
29400 7141.18
29500 7556
29600 7674.37
29700 7608.29
29800 8011.41
29900 7428.03
30000 7887.34
30100 7452.88
30200 7736.64
30300 7345.51
30400 7481.95
30500 7625.48
30600 7619.6
30700 7533.37
30800 7300.35
30900 7482.19
31000 7490.26
31100 7475.66
31200 7393.06
31300 7519.48
31400 7616.58
31500 7758.11
31600 7407.39
31700 7612.72
31800 7645.32
31900 7385.31
32000 7512.9
32100 7452.19
32200 7536.6
32300 7533.33
32400 7633.04
32500 7489.27
32600 7465.2
32700 7516.77
32800 7557.11
32900 7622.19
33000 7652.41
33100 7740.2
33200 7282.93
33300 7527.44
33400 7522.6
33500 7359.86
33600 7696.47
33700 7529.46
33800 7846.83
33900 7705.36
34000 7650.49
34100 7431.54
34200 7490.84
34300 7408.38
34400 7449.8
34500 7558.36
34600 7576.95
34700 7553.54
34800 7653.56
34900 7474.26
35000 7496.71
35100 7661.29
35200 7511.52
35300 7684.11
35400 7399.7
35500 7581.84
35600 7143.19
35700 7623.29
35800 7439.03
35900 7517.42
36000 7728.59
36100 7392.46
36200 7326.32
36300 7463.51
36400 7616.15
36500 7196.48
36600 7599.96
