# Time-averaged data for fix temp_output
# TimeStep c_temp_core
0 0
100 1.00039
200 1.02985
300 1.01664
400 0.996973
500 0.998622
600 0.981561
700 1.00954
800 0.979595
900 0.991805
1000 0.963535
1100 0.986884
1200 0.985529
1300 0.979641
1400 1.02079
1500 0.988306
1600 1.00226
1700 0.989925
1800 1.00101
1900 1.01827
2000 1.00474
2100 1.02425
2200 1.02477
2300 1.03988
2400 1.02589
2500 1.00778
2600 0.988807
2700 0.99394
2800 1.01337
2900 0.996535
3000 1.0204
3100 0.998282
3200 1.00262
3300 0.984394
3400 0.971225
3500 1.0172
3600 0.985783
3700 0.987942
3800 1.00462
3900 1.00115
4000 1.0038
4100 0.998232
4200 1.03048
4300 0.992268
4400 0.974446
4500 0.999458
4600 1.01048
4700 0.998984
4800 1.00669
4900 0.987438
5000 0.994006
5100 1.02154
5200 1.00805
5300 1.0156
5400 1.00167
5500 0.998502
5600 1.0039
5700 1.02085
5800 1.00708
5900 1.01799
6000 0.977703
6100 0.973963
6200 0.992106
6300 0.986417
6400 1.01129
6500 1.00639
6600 1.01373
6700 0.989219
6800 1.02077
6900 0.992631
7000 1.02397
7100 0.99002
7200 0.990182
7300 0.991264
7400 1.02706
7500 1.0208
7600 0.996349
7700 1.00304
7800 0.973835
7900 1.02241
8000 1.00817
8100 1.03882
8200 0.974908
8300 1.00001
8400 1.01034
8500 1.01467
8600 1.00288
8700 1.00646
8800 1.02837
8900 0.997015
9000 1.01853
9100 1.02855
9200 0.981515
9300 1.00092
9400 1.01546
9500 0.978446
9600 0.999273
9700 1.00272
9800 0.986395
9900 1.05281
10000 0.996079
10100 1.02486
10200 0.985058
10300 0.975274
10400 1.01726
10500 1.026
10600 0.988918
10700 0.968868
10800 1.0094
10900 0.991315
11000 1.00062
11100 1.00129
11200 0.972219
11300 0.98974
11400 1.00881
11500 1.03356
11600 0.98119
11700 0.970343
11800 0.999865
11900 1.01481
12000 1.009
12100 0.989655
12200 1.00574
12300 1.02522
12400 1.01022
12500 1.00681
12600 0.998182
12700 0.981362
12800 0.994099
12900 1.0119
13000 0.985797
13100 1.04647
13200 1.00445
13300 0.999258
13400 0.994306
13500 0.983107
13600 1.0036
13700 1.00669
13800 1.02393
13900 1.01004
14000 1.01251
14100 0.979581
14200 1.00496
14300 1.00827
14400 0.993113
14500 1.02033
14600 1.01497
14700 1.00718
14800 0.998923
14900 1.03519
15000 1.00077
15100 1.0109
15200 0.987013
15300 0.988713
15400 0.983466
15500 1.00008
15600 0.996789
15700 0.999597
15800 1.02111
15900 1.00682
16000 0.971303
16100 0.99783
16200 1.01711
16300 1.00361
16400 1.02525
16500 1.01492
16600 1.01812
16700 0.991312
16800 1.01955
16900 0.991748
17000 1.01075
17100 1.01815
17200 1.00801
17300 1.02762
17400 1.00897
17500 1.02461
17600 0.977624
17700 0.99517
17800 0.971028
17900 1.01584
18000 1.00629
18100 1.00367
18200 0.997628
18300 1.01806
18400 1.01242
18500 0.979755
18600 1.00586
18700 1.01007
18800 0.983221
18900 1.03365
19000 0.978845
19100 1.03044
19200 0.994415
19300 0.993559
19400 1.01958
19500 0.984634
19600 0.995517
19700 0.99868
19800 1.02383
19900 0.963314
20000 0.972529
20100 1.01188
20200 1.0142
20300 0.963194
20400 1.01068
20500 1.02373
20600 0.947141
20700 1.01253
20800 0.99955
20900 1.01366
21000 0.995012
21100 1.01113
21200 0.982831
21300 1.01431
21400 1.02804
21500 1.03362
21600 1.01849
21700 1.00853
21800 1.00809
21900 1.00841
22000 1.02258
22100 1.00047
22200 1.01448
22300 1.03226
22400 1.02666
22500 1.02075
22600 1.01489
22700 1.01234
22800 1.00559
22900 1.02677
23000 1.0393
23100 1.00962
23200 0.999094
23300 0.993372
23400 1.0188
23500 0.985467
23600 1.03917
23700 0.989245
23800 1.00472
23900 1.01861
24000 1.00559
24100 1.0249
24200 0.976189
24300 1.01059
24400 1.02165
24500 1.02886
24600 1.04279
24700 1.01659
24800 0.997638
24900 1.01608
25000 1.01357
25100 1.01779
25200 1.01995
25300 1.03347
25400 1.00229
25500 1.01537
25600 0.985066
25700 1.03768
25800 1.02393
25900 1.02538
26000 1.004
26100 0.985127
26200 1.01418
26300 0.949999
26400 1.0104
26500 0.981266
26600 1.00888
26700 1.00714
26800 1.00945
26900 1.02413
27000 1.02972
27100 0.980935
27200 1.02474
27300 1.00318
27400 0.993426
27500 1.03433
27600 1.00202
27700 1.04348
27800 0.995096
27900 1.01228
28000 1.00828
28100 0.997457
28200 1.01162
28300 0.999611
28400 1.02913
28500 1.00499
28600 1.00153
28700 0.995391
28800 1.0221
28900 1.00271
29000 1.00528
29100 1.00661
29200 1.00104
29300 1.03362
29400 1.00971
29500 0.997967
29600 1.00737
29700 1.02532
29800 1.04816
29900 1.0324
30000 1.01797
30100 0.993454
30200 1.02572
30300 0.992665
30400 1.02352
30500 1.02351
30600 1.00965
30700 1.02171
30800 1.00966
30900 1.00248
31000 1.01643
31100 1.0205
31200 1.00773
31300 0.995609
31400 1.02652
31500 1.00011
31600 0.990745
31700 1.00483
31800 1.01761
31900 0.992702
32000 1.02358
32100 0.988738
32200 1.01234
32300 1.006
32400 1.03853
32500 1.02596
32600 1.00318
32700 1.00125
32800 0.991704
32900 1.0308
33000 0.995436
33100 0.970505
33200 1.00649
33300 0.984138
33400 1.00957
33500 0.986893
33600 1.03563
33700 1.02515
33800 1.02728
33900 1.02909
34000 1.01317
34100 0.992994
34200 0.99578
34300 0.993564
34400 0.996176
34500 0.989634
34600 0.982794
34700 1.02829
34800 1.0278
34900 1.01052
35000 1.01801
35100 1.04229
35200 0.987333
35300 1.0245
35400 0.991034
35500 1.00466
35600 0.974984
35700 1.01287
35800 1.00169
35900 1.01615
36000 1.05663
36100 0.963197
36200 0.982556
36300 0.996615
36400 1.00062
36500 0.997723
36600 1.0171
36700 1.02798
36800 1.01336
36900 1.00327
37000 0.996556
37100 0.975042
37200 1.02187
37300 0.986194
37400 1.02134
37500 0.984221
37600 0.987161
37700 0.956708
37800 1.00376
37900 1.04307
38000 1.03306
38100 0.993797
38200 0.995187
38300 1.0399
38400 1.03127
38500 1.00423
38600 1.00203
38700 1.02371
38800 0.997107
38900 1.02322
39000 1.01418
39100 1.00922
39200 0.983958
39300 0.993978
39400 1.01878
39500 1.01065
39600 0.999087
39700 1.01577
39800 1.00042
39900 1.04137
40000 1.00964
40100 0.996703
40200 0.993928
40300 1.01297
40400 1.00241
40500 0.999253
40600 0.998476
40700 1.0095
40800 1.03983
40900 1.00245
41000 1.02039
41100 1.02857
41200 1.0038
41300 0.99297
41400 1.01316
41500 1.00198
41600 0.985796
41700 0.963458
41800 1.00773
41900 1.01121
42000 1.01872
42100 1.00134
42200 1.00957
42300 1.0526
42400 1.00644
42500 1.02628
42600 1.00703
42700 0.991855
42800 1.00494
42900 1.00551
43000 1.0144
43100 0.98969
43200 0.97289
43300 0.995659
43400 1.00002
43500 1.00143
43600 1.00752
43700 0.982632
43800 0.989429
43900 1.0147
44000 0.965864
44100 1.01478
44200 0.992641
44300 1.02304
44400 1.00426
44500 1.00174
44600 1.02515
44700 1.0434
44800 1.00642
44900 1.00466
45000 1.01829
45100 1.0147
45200 1.00292
45300 0.996145
45400 1.03361
45500 1.02238
45600 1.00293
45700 1.00182
45800 0.991844
45900 1.0405
46000 1.02007
46100 1.01436
46200 0.984975
46300 1.00417
46400 0.990599
46500 1.01393
46600 1.02331
46700 1.01397
46800 0.999767
46900 1.01447
47000 1.01341
47100 0.982818
47200 1.03789
47300 1.01249
47400 0.96763
47500 1.01854
47600 1.00395
47700 1.03205
47800 1.01074
47900 1.02183
48000 0.994391
48100 0.997951
48200 1.01077
48300 0.982103
48400 0.988592
48500 1.04257
48600 1.0295
48700 1.00277
48800 0.993926
48900 0.965713
49000 1.00995
49100 0.998719
49200 0.9903
49300 1.02264
49400 1.04108
49500 1.00828
49600 0.987159
49700 1.00754
49800 1.03195
49900 0.993808
50000 0.990621
50100 1.02307
50200 0.987265
50300 1.01918
50400 0.995004
50500 0.993414
50600 1.04532
50700 1.03164
50800 1.04224
50900 0.978757
51000 1.00169
51100 1.05435
51200 1.02667
51300 1.01492
51400 0.972989
51500 0.993457
51600 1.02582
51700 0.999214
51800 1.00536
51900 1.01276
52000 1.00164
52100 0.990476
52200 1.02347
52300 0.971276
52400 1.03949
52500 1.00217
52600 1.021
52700 0.981411
52800 1.04201
52900 1.00206
53000 1.00428
53100 1.00479
53200 1.00963
53300 0.985469
53400 1.00811
53500 1.02408
53600 1.02431
53700 1.01416
53800 0.987393
53900 0.992944
54000 0.973743
54100 1.02494
54200 1.00723
54300 1.03471
54400 0.988393
54500 1.04684
54600 0.998173
54700 1.02441
54800 0.968576
54900 0.991911
55000 1.01059
55100 1.01728
55200 0.991415
55300 1.00064
55400 1.04333
55500 0.988326
55600 0.992437
55700 1.01677
55800 0.989647
55900 1.00565
56000 0.992928
56100 1.00251
56200 1.01276
56300 1.01724
56400 0.995141
56500 1.01687
56600 0.992853
56700 1.01652
56800 1.00903
56900 1.01028
57000 1.01009
57100 0.986126
57200 1.02948
57300 1.01269
57400 1.00127
57500 1.04338
57600 1.03086
57700 1.02661
57800 1.01252
57900 0.99213
58000 0.999546
58100 1.01079
58200 1.04787
58300 0.99506
58400 1.02018
58500 1.01389
58600 1.03449
58700 1.00111
58800 1.01147
58900 1.03915
59000 1.00789
59100 1.03956
59200 1.01158
59300 1.01945
59400 0.993213
59500 1.00361
59600 0.988845
59700 1.04424
59800 1.0469
59900 1.00122
60000 0.998268
60100 1.04799
60200 1.00502
60300 1.00628
60400 0.994097
60500 1.01519
60600 1.02165
60700 0.973837
60800 1.02964
60900 1.00921
61000 1.03456
61100 0.991654
61200 1.03492
61300 0.982586
61400 1.0058
61500 1.01332
61600 1.00839
61700 1.03037
61800 1.05459
61900 1.03235
62000 1.00049
62100 1.00231
62200 0.993304
62300 1.01215
62400 1.04479
62500 0.984504
62600 1.01208
62700 1.0154
62800 1.04769
62900 1.01704
63000 0.98626
63100 1.00146
63200 1.01701
63300 1.05312
63400 0.988454
63500 1.01844
63600 1.03618
63700 1.00419
63800 0.9993
63900 0.995788
64000 0.969707
64100 1.04243
64200 0.992275
64300 0.993039
64400 0.980708
