# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
45400 770.501
45500 731.257
45600 751.759
45700 743.99
45800 747.119
45900 783.728
46000 766.083
46100 756.407
46200 757.018
46300 752.215
46400 752.87
46500 784.575
46600 788.438
46700 729.049
46800 751.289
46900 758.795
47000 774.698
47100 775.074
47200 757.51
47300 739.28
47400 733.699
47500 772.347
47600 738.814
47700 767.272
47800 760.24
47900 794.063
48000 730.453
48100 741.768
48200 748.418
48300 750.612
48400 749.482
48500 806.738
48600 774.554
48700 758.734
48800 783.375
48900 723.21
49000 750.838
49100 757.331
49200 794.73
49300 779.223
49400 755.205
49500 747.28
49600 765.839
49700 771.477
49800 769.326
49900 802.451
50000 748.273
50100 754.026
50200 717.905
50300 774.505
50400 764.414
50500 777.908
50600 776.779
50700 746.352
50800 775.207
50900 738.579
51000 747.296
51100 784.885
51200 757.074
51300 740.767
51400 763.917
51500 772.17
51600 765.275
51700 764.304
51800 756.779
51900 755.268
52000 736.182
52100 749.707
52200 763.106
52300 722.05
52400 787.787
52500 731.67
52600 779.967
52700 732.23
52800 754.977
52900 766.106
53000 751.525
53100 770.879
53200 753.575
53300 772.249
53400 734.525
53500 758.239
53600 736.043
53700 801.318
53800 745.833
53900 754.476
54000 771.616
54100 748.472
54200 772.709
54300 765.974
54400 749.679
54500 774.391
54600 787.366
54700 750.035
54800 727.964
54900 721.926
55000 747.059
55100 751.739
55200 775.097
55300 729.562
55400 751.374
55500 691.972
55600 723.374
55700 789.334
55800 787.36
55900 777.851
56000 714.814
56100 720.248
56200 756.343
56300 735.064
56400 765.335
56500 760.676
56600 732.473
56700 778.495
56800 738.278
56900 755.206
57000 780.504
57100 779.827
57200 745.679
57300 743.464
57400 766.047
57500 748.958
57600 763.826
57700 775.976
57800 749.493
57900 753.897
58000 754.448
58100 743.646
58200 756.081
58300 744.476
58400 772.073
58500 746.116
58600 776.246
58700 776.073
58800 726.825
58900 757.542
59000 781.351
59100 744.422
59200 763.223
59300 768.032
59400 723.772
59500 742.888
59600 773.25
59700 798.16
59800 804.239
59900 752.057
60000 752.68
60100 785.29
60200 714.83
60300 739.814
60400 741.974
60500 776.731
60600 762.994
60700 747.068
60800 771.188
60900 744.355
61000 774.109
61100 741.203
61200 766.558
61300 716.699
61400 772.401
61500 757.548
61600 736.199
61700 753.908
61800 759.249
61900 775.435
62000 738.882
62100 767.523
62200 741.344
62300 775.115
62400 766.363
62500 753.305
62600 748.783
62700 739.984
62800 760.464
62900 768.855
63000 756.892
63100 760.252
63200 796.363
63300 774.555
63400 754.966
63500 735.277
63600 775.372
63700 747.938
63800 747.101
63900 727.366
64000 742.798
64100 767.442
64200 740.096
64300 755.452
64400 734.413
64500 755.389
64600 723.421
64700 711.946
64800 741.385
64900 736.961
65000 726.539
65100 760.817
65200 769.962
65300 779.159
65400 730.108
65500 760.374
65600 762.834
65700 754.252
65800 735.499
65900 723.533
66000 774.622
66100 754.784
66200 756.298
66300 752.284
66400 758.033
66500 779.475
66600 781.784
66700 745.152
66800 761.199
66900 749.913
67000 759.608
67100 745.696
67200 752.913
67300 758.23
67400 774.243
67500 750.221
67600 736.609
67700 744.572
67800 740.857
67900 745.607
68000 785.068
68100 733.985
68200 789.242
68300 750.596
68400 756.4
68500 735.266
68600 746.153
68700 761.325
68800 740.316
68900 790.11
69000 773.148
69100 768.233
69200 766.692
69300 749.482
69400 751.909
69500 738.623
69600 751.063
69700 743.698
69800 764.407
69900 740.542
70000 778.786
70100 727.334
70200 768.146
70300 730.523
70400 756.987
70500 753.491
70600 773.31
70700 767.274
70800 771.257
70900 773.119
71000 725.997
71100 746.252
71200 763.512
71300 776.866
71400 747.476
71500 757.779
71600 755.518
71700 740.402
71800 788.326
71900 754.451
72000 745.705
72100 747.828
72200 743.081
72300 755.04
72400 732.958
72500 758.629
72600 787.296
72700 737.925
72800 741.914
72900 738.547
73000 729.963
73100 736.681
73200 760.609
73300 743.57
73400 773.948
73500 769.301
73600 747.82
73700 742.648
73800 763.931
73900 763.974
74000 738.306
74100 719.398
74200 752.989
74300 760.018
74400 724.706
74500 767.685
74600 782
74700 757.142
74800 764.374
74900 754.472
75000 765.312
75100 769.529
75200 765.231
75300 746.407
75400 726.685
75500 758.089
75600 784.313
75700 741.933
75800 698.338
75900 759.128
76000 766.595
76100 775.531
76200 751.325
76300 780.448
76400 751.187
76500 784.15
76600 764.173
76700 742.966
76800 773.079
76900 761.119
77000 778.144
77100 762.579
77200 754.393
77300 756.769
77400 763.288
77500 764.236
77600 754.952
77700 772.921
77800 732.632
77900 783.532
78000 781.499
78100 747.53
78200 734.704
78300 787.017
78400 744.175
78500 747.074
78600 756.696
78700 783.805
78800 771.57
78900 731.424
79000 717.804
79100 771.419
79200 767.514
79300 780.189
79400 717.063
79500 747.528
79600 788.984
79700 776.843
79800 710.599
