LAMMPS data file. CGCMM style. atom_style molecular generated by Python script on Sun Dec 07 22:59:33 2025
286 atoms
1 atom types
-60.0 60.0 xlo xhi
-40.0 40.0 ylo yhi
-40.0 40.0 zlo zhi

Masses

1 12.0107

Atoms # atomic

147 1  -0.547851 -4.666301 0.710162
148 1  0.678610 -4.640481 1.420162
149 1  1.856132 -4.298244 0.710162
150 1  2.905368 -3.662653 1.420162
151 1  3.754014 -2.777506 0.710162
152 1  4.344883 -1.702450 1.420162
153 1  4.637259 -0.511567 0.710162
154 1  4.611438 0.714894 1.420162
155 1  4.269201 1.892416 0.710162
156 1  3.633610 2.941652 1.420162
157 1  2.748463 3.790298 0.710162
158 1  1.673407 4.381167 1.420162
159 1  0.482524 4.673543 0.710162
160 1  -0.743936 4.647722 1.420162
161 1  -1.921459 4.305485 0.710162
162 1  -2.970695 3.669894 1.420162
163 1  -3.819341 2.784747 0.710162
164 1  -4.410210 1.709691 1.420162
165 1  -4.702585 0.518808 -0.709838
166 1  -4.702585 0.518808 0.710162
167 1  -4.334430 -1.885398 3.550585
168 1  -4.676728 -0.707894 2.840585
169 1  -4.676728 -0.707894 1.420585
170 1  -3.699089 -2.934220 2.840585
171 1  -2.813593 -3.783201 3.550585
172 1  -1.738961 -4.373837 2.840585
173 1  -0.547608 -4.666328 3.550585
174 1  0.678369 -4.640518 2.840585
175 1  1.856356 -4.298146 3.550585
176 1  2.905178 -3.662805 2.840585
177 1  3.754158 -2.777309 3.550585
178 1  4.344795 -1.702677 2.840585
179 1  4.637285 -0.511324 3.550585
180 1  4.611475 0.714653 2.840585
181 1  4.269103 1.892640 3.550585
182 1  3.633763 2.941462 2.840585
183 1  2.748266 3.790442 3.550585
184 1  1.673634 4.381079 2.840585
185 1  0.482282 4.673569 3.550585
186 1  -0.743695 4.647759 2.840585
187 1  -1.921682 4.305387 3.550585
188 1  -2.970504 3.670047 2.840585
189 1  -3.819485 2.784550 3.550585
190 1  -4.410121 1.709918 2.840585
191 1  -3.698937 -2.934411 5.681007
192 1  -4.334332 -1.885622 4.971007
193 1  -2.813790 -3.783057 4.971007
194 1  -1.738734 -4.373926 5.681007
195 1  -0.547851 -4.666301 4.971007
196 1  0.678610 -4.640481 5.681007
197 1  1.856132 -4.298244 4.971007
