# Time-averaged data for fix kinetic_output
# TimeStep c_kinetic_core
0 0
100 146.937
200 152.255
300 157.141
400 152.071
500 150.853
600 142.794
700 148.686
800 149.805
900 144.017
1000 148.213
1100 146.716
1200 149.767
1300 142.914
1400 152.989
1500 155.12
1600 151.725
1700 145.356
1800 145.541
1900 151.802
2000 151.686
2100 155.582
2200 152.162
2300 154.094
2400 153.666
2500 147.485
2600 145.519
2700 150.653
2800 153.047
2900 151.028
3000 154.181
3100 149.302
3200 151.039
3300 155.412
3400 146.022
3500 156.619
3600 142.027
3700 146.855
3800 152.439
3900 147.575
4000 147.264
4100 146.752
4200 152.222
4300 147.499
4400 145.543
4500 148.839
4600 148.834
4700 147.833
4800 150.505
4900 147.873
5000 141.802
5100 151.306
5200 155.43
5300 150.501
5400 150.71
5500 151.272
5600 152.492
5700 154.004
5800 147.258
5900 152.046
6000 144.528
6100 145.234
6200 148.504
6300 148.934
6400 152.288
6500 153.448
6600 153.1
6700 150.201
6800 147.83
6900 146.881
7000 152.81
7100 148.54
7200 145.661
7300 155.174
7400 159.987
7500 153.977
7600 149.582
7700 151.739
7800 147.996
7900 154.657
8000 145.353
8100 160.078
8200 146.267
8300 156.498
8400 155.366
8500 151.952
8600 147.356
8700 151.586
8800 152.864
8900 153.286
9000 150.168
9100 159.347
9200 146.067
9300 150.533
9400 153.487
9500 149.928
9600 146.04
9700 158.904
9800 145.655
9900 150.644
10000 148.058
10100 154.178
10200 143.9
10300 144.662
10400 150.853
10500 151.042
10600 141.928
10700 147.415
10800 146.665
10900 149.454
11000 148.287
11100 150.865
11200 144.736
11300 146.454
11400 153.052
11500 155.958
11600 148.39
11700 147.745
11800 146.148
11900 152.756
12000 153.671
12100 144.602
12200 141.312
12300 150.166
12400 155.088
12500 143.837
12600 142.987
12700 150.251
12800 152.796
12900 147.994
13000 152.244
13100 155.035
13200 151.363
13300 149.924
13400 143.425
13500 142.719
13600 151.517
13700 149.267
13800 150.277
13900 149.69
14000 144.607
14100 154.482
14200 155.996
14300 151.046
14400 149.528
14500 150.055
14600 148.654
14700 152.961
14800 145.747
14900 151.018
15000 149.172
15100 155.075
15200 151.558
15300 149.072
15400 150.109
15500 153.336
15600 149.46
15700 154.252
15800 144.778
15900 155.055
16000 146.801
16100 149.978
16200 156.673
16300 147.945
16400 157.233
16500 153.307
16600 149.064
16700 147.636
16800 153.349
16900 145.162
17000 147.819
17100 154.895
17200 148.211
17300 157.144
17400 148.205
17500 154.685
17600 144.247
17700 147.916
17800 148.711
17900 150.056
18000 150.984
18100 149.948
18200 146.029
18300 155.457
18400 146.691
18500 146.379
18600 151.53
18700 150.758
18800 147.244
18900 155.803
19000 147.132
19100 154.117
19200 152.287
19300 156.632
19400 151.205
19500 146.791
19600 145.083
19700 143.976
19800 153.343
19900 145.574
20000 147.286
20100 146.974
20200 152.672
20300 140.092
20400 151.05
20500 157.214
20600 140.657
20700 150.334
20800 151.191
20900 159.499
21000 145.328
21100 151.118
21200 149.521
21300 147.426
21400 150.847
21500 153.917
21600 154.894
21700 152.881
21800 152.748
21900 152.122
22000 150.325
22100 154.491
22200 147.461
22300 158.061
22400 156.727
22500 153.204
22600 148.439
22700 156.804
22800 145.139
22900 158.385
23000 157.956
23100 151.287
23200 148.3
23300 143.783
23400 150.705
23500 149.626
23600 158.504
23700 153.163
23800 151.825
23900 153.684
24000 149.03
